original_query,translated_query,top_similarity_score,avg_similarity_score,distance_to_centroid
"I was walking in the rain and my phone died, now I need a waterproof one","I was walking in the rain and my phone died, now I need a waterproof one",0.4297041,0.37670654,1.0528305
latest Samsung phone,latest Samsung phone,0.5715097,0.43081596,0.8910934
Looking to purchase a reliable Android mobile for my parents with large font settings and loud speakers,Looking to purchase a reliable Android mobile for my parents with large font settings and loud speakers,0.464557,0.40903294,0.9483153
durable,durable,0.38188288,0.35762173,1.1163433
burn all mobiles,burn all mobiles,0.43265837,0.3729651,1.0659026
iPhone charger,iPhone charger,0.50384676,0.38579327,1.0244082
midrange Samsung mobile,midrange Samsung mobile,0.5179565,0.41598368,0.9317752
buy OnePlus Nord,buy OnePlus Nord,0.6322158,0.38040802,1.0497535
cheap android phone,cheap android phone,0.5617697,0.477967,0.7416979
Realme 11 Pro,Realme 11 pro,0.7014501,0.39822257,1.0078439
write a poem,write a poem,0.36362237,0.33654425,1.1922413
camera,camera,0.4448519,0.37808222,1.0487708
iPhone,iPhone,0.5019899,0.39925736,0.98135614
cheap mobile,cheap mobile,0.51528895,0.45517573,0.8076734
"I am searching for a smartphone with 128GB storage, good camera, and a 6000mAh battery under 20000","I am searching for a smartphone with 128GB storage, good camera, and a 6000mAh battery under 20000",0.5584821,0.45431584,0.8130126
recommend something shiny and weird,recommend something shiny and weird,0.38349816,0.35282168,1.1333385
what is AI,what is AI,0.39954185,0.32673934,1.2312173
a phone that cooks food,a phone that cooks food,0.4152661,0.36953592,1.0764519
damn phone never charges,damn phone never charges,0.47634247,0.4114125,0.94068015
damn phone never charges,damn phone never charges,0.47634247,0.4114125,0.94068015
burn all mobiles,burn all mobiles,0.43265837,0.3729651,1.0659026
tips for job interview,tips for job interview,0.36499843,0.33991823,1.1796794
show me alien smartphones,show me alien smartphones,0.45883197,0.396802,0.9888179
fast,fast,0.3674902,0.34776604,1.1512378
buy refurbished mobiles,buy refurbished mobiles,0.4693126,0.40918133,0.9482986
durable smartphone for travel,durable smartphone for travel,0.4427677,0.39123186,1.0063283
Samsung,Samsung,0.53815854,0.40926713,0.95639914
budget 5G phone,budget 5G phone,0.56260484,0.47221923,0.7607097
f*** Samsung,f*** Samsung,0.5421288,0.38620383,1.0281379
durable smartphone for travel,durable smartphone for travel,0.4427677,0.39123186,1.0063283
cheap mobile,cheap mobile,0.51528895,0.45517573,0.8076734
Need a phone to gift my brother for college,Need a phone to gift my brother for college,0.42407194,0.37970823,1.04254
durable,durable,0.38188288,0.35762173,1.1163433
fast,fast,0.3674902,0.34776604,1.1512378
premium smartphone,premium smartphone,0.51024157,0.43575403,0.8673769
best iPhone under 50000,best iPhone under 50000,0.5356993,0.4338756,0.87254834
Realme 11 Pro,Realme 11 pro,0.7014501,0.39822257,1.0078439
fast charging phone,fast charging phone,0.466133,0.40439633,0.9640225
cheap mobile,cheap mobile,0.51528895,0.45517573,0.8076734
flagship Android phone,flagship Android phone,0.5253757,0.44368428,0.8452057
iPhone,iPhone,0.5019899,0.39925736,0.98135614
who is the president of USA,who is the president of USA,0.3604308,0.33666244,1.1921431
premium smartphone,premium smartphone,0.51024157,0.43575403,0.8673769
buy Xiaomi phone,buy Xiaomi phone,0.6593918,0.43029496,0.90433955
durable smartphone for travel,durable smartphone for travel,0.4427677,0.39123186,1.0063283
I hate all phones,I hate all phones,0.46918854,0.3904522,1.0084225
Samsung,Samsung,0.53815854,0.40926713,0.95639914
I want a phone that makes me look like a celebrity,I want a phone that makes me look like a celebrity,0.43809572,0.37317193,1.065729
mobile that gives hugs,mobile that gives hugs,0.41735306,0.36923543,1.0779252
