query,top_score,avg_score,centroid_distance,num_results,type
best smartphone under 30000 taka,0.5082136,0.43605518,0.8648884,980,product_search
iPhone 15 pro max price in Bangladesh,0.6240582,0.44689414,0.83549035,980,product_search
Samsung Galaxy S23 Ultra case,0.5784825,0.3772839,1.0569358,980,product_search
cheap gaming phones with good camera,0.5323286,0.447554,0.830257,980,product_search
5G enabled phones under 25000,0.49710223,0.4123496,0.9414005,980,product_search
latest Xiaomi models 2024,0.5916131,0.4234908,0.9145192,980,product_search
waterproof mobile phones,0.44520095,0.38412324,1.0295731,980,product_search
best battery life smartphones,0.492949,0.42532367,0.8987977,980,product_search
phones with AMOLED display,0.41928607,0.3748171,1.0591568,980,product_search
dual SIM phones with expandable storage,0.43630466,0.38611063,1.0215514,980,product_search
best camera phone for vlogging,0.4837883,0.39955258,0.97922605,980,product_search
compact smartphones under 6 inches,0.47370005,0.4012047,0.9737507,980,product_search
phones with 12GB RAM,0.512171,0.41549078,0.93141747,980,product_search
best phone for PUBG Mobile,0.4780756,0.41293958,0.936132,980,product_search
phones with wireless charging,0.44950354,0.37993622,1.0442733,980,product_search
best value for money smartphones,0.5533479,0.45951414,0.79629135,980,product_search
phones with best speakers,0.44624698,0.39004174,1.0087414,980,product_search
rugged smartphones for construction workers,0.44118488,0.38716224,1.0192624,980,product_search
best phone for elderly parents,0.44372252,0.3807018,1.0391883,980,product_search
phones with best low-light photography,0.47218648,0.41118023,0.941808,980,product_search
how to make biryani,0.36801803,0.3303542,1.2157775,980,non_product_search
current weather in Dhaka,0.38308233,0.35023645,1.1434665,980,non_product_search
Bangladesh vs India cricket match schedule,0.38165683,0.35216194,1.1363885,980,non_product_search
best universities in Bangladesh,0.38658383,0.35166156,1.1387609,980,non_product_search
how to tie a tie,0.35345712,0.3273437,1.226798,980,non_product_search
latest Hollywood movies 2024,0.39960605,0.35275394,1.1349353,980,non_product_search
Python programming tutorials,0.36163408,0.33399233,1.201858,980,non_product_search
home remedies for cold,0.4237586,0.33059967,1.2151618,980,non_product_search
upcoming public holidays,0.36892098,0.33765757,1.1886396,980,non_product_search
how to lose weight fast,0.3558442,0.33098543,1.2130554,980,non_product_search
best tourist spots in Cox's Bazar,0.3884925,0.3446076,1.1635126,980,non_product_search
how to write a CV,0.35869566,0.33287904,1.2063187,980,non_product_search
latest Bangladesh election news,0.3834344,0.34765282,1.1526464,980,non_product_search
how to invest in stock market,0.36924747,0.33921278,1.182867,980,non_product_search
best restaurants in Gulshan,0.38800323,0.35337773,1.1327991,980,non_product_search
how to learn English quickly,0.3605607,0.33760968,1.1884136,980,non_product_search
latest fashion trends 2024,0.3870324,0.34870216,1.1479231,980,non_product_search
how to start a small business,0.38127422,0.339328,1.1826198,980,non_product_search
